Essentials,sí,yes
Essentials,no,no
Essentials,tal vez,maybe
Essentials,¿entiendes?,do you understand?
Essentials,no entiendo,I don’t understand
Essentials,no sé,I don’t know
Essentials,no tengo ni idea,I have no idea
Essentials,no hablo español,I don’t speak spanish
Essentials,estoy perdido,I am lost
Introducing Yourself,me llamo,my name is
Introducing Yourself,mi nombre es,my name is
Introducing Yourself,soy,I am
Introducing Yourself,¿cómo te llamas?,what is your name?
Introducing Yourself,soy de,I am from
What’s Up,¿cómo está usted?,how are you? (formal)
What’s Up,¿cómo estás?,how are you? (informal)
What’s Up,¿qué tal?,what's up?
What’s Up,¿cómo te va?,how's it going?
What’s Up,¿qué haces?,what are you doing?
What’s Up,¿qué pasa?,what's happening?
Responses,¿y tú?,and you?
Responses,muy bien,very well
Responses,así así,so so
Responses,mal,bad
Responses,como siempre,as always
Etiquette,¡de nada!,you’re welcome!
Etiquette,por favor,please
Etiquette,¡perdon!,excuse me!
Etiquette,¡disculpe!,excuse me!
Etiquette,¡lo siento!,sorry!
Etiquette,gracias,thank you
Etiquette,salud,bless you
Question Words,¿qué?,what?
Question Words,¿quién?,who?
Question Words,¿cuándo?,when?
Question Words,¿dónde?,where?
Question Words,¿por qué?,why?
Question Words,¿cuál?,which?
Question Words,¿cómo?,how?
Pronouns,yo,I
Pronouns,tú,you
Pronouns,usted,you
Pronouns,él,he
Pronouns,ella,she
Pronouns,nosotros,we
Pronouns,ustedes,you all
Pronouns,ellos,they
Pronouns,ellas (females),they
Greetings,hola,hello
Greetings,buenos días,good morning
Greetings,buenas tardes,good afternoon
Greetings,buenas noches,good evening good night
Talking About Age,yo tengo… años,I am… years old
Talking About Age,viejo,old
Talking About Age,joven,young
Talking About Age,de mediana edad,middle-aged
Talking About Age,juvenil,youthful
Talking About Age,nuevo,new
Celebrate,¡feliz cumpleaños!,happy birthday!
Celebrate,¡felicitaciones!,congratulations!
Celebrate,¡diviértete!,have fun!
Celebrate,¡buen provecho!,bon appetit!
Celebrate,¡bienvenidos!/¡bienvenidas!,welcome!
Celebrate,salud!,cheers!
Say Goodbye,adiós,goodbye
Say Goodbye,chao,goodbye
Say Goodbye,hasta luego,see you later
Say Goodbye,hasta mañana,see you tomorrow
Say Goodbye,nos vemos,see you
Say Goodbye,¡cuídate mucho!,take care!
Say Goodbye,¡tenga un buen día!,have a nice day!
Say Goodbye,¡hasta luego!,see you soon!
Say Goodbye,¡buen viaje!,have a good trip!
Days of the Week,Domingo,Sunday
Days of the Week,Lunes,Monday
Days of the Week,Martes,Tuesday
Days of the Week,Miércoles,Wednesday
Days of the Week,Jueves,Thursday
Days of the Week,Viernes,Friday
Days of the Week,Sabado,Saturday
Months of the Year,Enero,January
Months of the Year,Febrero,February
Months of the Year,Marzo,March
Months of the Year,Abril,April
Months of the Year,Mayo,May
Months of the Year,Junio,June
Months of the Year,Julio,July
Months of the Year,Agosto,August
Months of the Year,Septiembre,September
Months of the Year,Octubre,October
Months of the Year,Noviembre,November
Months of the Year,Diciembre,December
Other Time Words,anteayer,day before yesterday
Other Time Words,ayer,yesterday
Other Time Words,el año,year
Other Time Words,el día,day
Other Time Words,el mes,month
Other Time Words,el siglo,century
